equip_id	 utility	 size	 pos_x 	 pos_y	 pos_z
EAP3522	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195464.3 	 87156.51	 52511.94
EAP3522	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 197412.69 	 87026.76	 52788.07
EAP3522	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 196975.38 	 88020.68	 52788.07
EAP3522	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195896.17 	 88138.92	 52788.07
EAP3522	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 87742.43	 50003.7
EAP3522	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 87612.43	 50003.7
EAP3522	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 87742.43	 50003.7
EAP3522	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 86542.43	 50003.7
EAP3522	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 86672.43	 50003.7
EAP3522	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 86527.43	 50003.7
EAP3522	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 85888.3	 41325.0
EAP3522	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 86308.3	 41325.0
ELD3505	 열배기(HEAT)	 [기본 사이즈] 100 mm	 191771.08 	 66653.44	 37458.5
ELD3505	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189643.83 	 66304.74	 53189.93
ELD3505	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189853.29 	 67451.22	 50011.54
ELD3505	 열배기(HEAT)	 [기본 사이즈] 100 mm	 189639.26 	 65156.69	 50011.54
ELD3505	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 189384.75 	 66304.74	 53189.93
ELD3505	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 190498.76 	 65692.74	 53160.0
ELD3505	 산배기(ACID)	 [기본 사이즈] 100 mm	 191424.36 	 67257.98	 49950.0
ELD3505	 산배기(ACID)	 [기본 사이즈] 100 mm	 191424.36 	 65351.28	 49950.0
ELD3505	 산배기(ACID)	 [기본 사이즈] 150 mm	 190758.83 	 66685.65	 49740.0
ELD3505	 산배기(ACID)	 [기본 사이즈] 150 mm	 191063.75 	 65974.41	 49740.0
ELD3505	 산배기(ACID)	 [기본 사이즈] 150 mm	 191063.63 	 67021.95	 49740.0
ELD3505	 산배기(ACID)	 [기본 사이즈] 150 mm	 190758.95 	 65798.82	 49740.0
EAP3527	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 196975.38 	 68290.7	 52788.07
EAP3527	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 197412.69 	 67296.78	 52788.07
EAP3527	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195896.17 	 68408.94	 52788.07
EAP3527	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195464.3 	 67426.53	 52511.94
EAP3527	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 68012.45	 50003.7
EAP3527	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 67882.45	 50003.7
EAP3527	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 68012.45	 50003.7
EAP3527	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 66812.45	 50003.7
EAP3527	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 66942.45	 50003.7
EAP3527	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 66797.45	 50003.7
EAP3527	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 68852.4	 41325.0
EAP3527	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 69272.4	 41325.0
EAP3527	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 65572.37	 37138.0
EAP3527	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 66841.37	 37138.0
EAP3527	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 68110.37	 37138.0
EAP3525	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 73486.37	 37138.0
EAP3525	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 76024.37	 37138.0
EAP3525	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 74755.37	 37138.0
EAP3525	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 77210.29	 41325.0
EAP3525	 산배기(ACID)	 [기본 사이즈] 25 mm	 194876.0 	 76790.29	 41325.0
EAP3525	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 75904.44	 50003.7
EAP3525	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 75774.44	 50003.7
EAP3525	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 75904.44	 50003.7
EAP3525	 산배기(ACID)	 [기본 사이즈] 100 mm	 194764.54 	 74704.44	 50003.7
EAP3525	 산배기(ACID)	 [기본 사이즈] 100 mm	 194894.54 	 74834.44	 50003.7
EAP3525	 산배기(ACID)	 [기본 사이즈] 100 mm	 195089.54 	 74689.44	 50003.7
EAP3525	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195464.3 	 75318.52	 52511.94
EAP3525	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 196975.38 	 76182.69	 52788.07
EAP3525	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 197412.69 	 75188.77	 52788.07
EAP3525	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 195896.17 	 76300.93	 52788.07
EAP3513	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 185791.32 	 78990.12	 52788.07
EAP3513	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184280.25 	 78125.96	 52511.94
EAP3513	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 184712.11 	 79108.36	 52788.07
EAP3513	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 186228.63 	 77996.2	 52788.07
EAP3513	 산배기(ACID)	 [기본 사이즈] 100 mm	 183580.48 	 78711.87	 50003.7
EAP3513	 산배기(ACID)	 [기본 사이즈] 100 mm	 183710.48 	 78581.87	 50003.7
EAP3513	 산배기(ACID)	 [기본 사이즈] 100 mm	 183905.48 	 78711.87	 50003.7
EAP3513	 산배기(ACID)	 [기본 사이즈] 100 mm	 183580.48 	 77511.87	 50003.7
EAP3513	 산배기(ACID)	 [기본 사이즈] 100 mm	 183710.48 	 77641.87	 50003.7
EAP3513	 산배기(ACID)	 [기본 사이즈] 100 mm	 183905.48 	 77496.87	 50003.7
EAP3513	 산배기(ACID)	 [기본 사이즈] 25 mm	 186299.0 	 77683.34	 41325.0
EAP3513	 산배기(ACID)	 [기본 사이즈] 25 mm	 186299.0 	 77263.34	 41325.0
EMA3503	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 188505.27 	 69693.49	 49844.92
EMA3503	 캐비넷배기(CABINET)	 [기본 사이즈] 100 mm	 188505.27 	 69544.9	 49844.92
EMA3503	 산배기(ACID)	 [기본 사이즈] 40 mm	 190126.52 	 69619.53	 50157.0
EMA3503	 산배기(ACID)	 [기본 사이즈] 25 mm	 191222.98 	 68138.33	 50475.5
EMA3503	 산배기(ACID)	 [기본 사이즈] 25 mm	 191260.03 	 68138.37	 49993.5
EAP3524	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 77593.37	 37138.0
EAP3524	 열배기(HEAT)	 [기본 사이즈] 100 mm	 195174.1 	 80131.37	 37138.0
