S: Lateral Number,EQPID,CHAMBER,최소,최대,S: Module Name,S: idx,S: Name,S: Division,S: Subdivision 1,S: Subdivision 2,S: Con Subdivision 1,S: Con Subdivision 2,S: BIM Design Info,S: BIM (Instance) ID,S: Library Path,S: Connector Name,S: Shape,S: Utility,S: Utility Group,S: Length,S: Size,Status,S: GUID,S: Connector GUID,S: Tag,S: Connector Tag,S: Connector Position X,S: Connector Position Y,S: Connector Position Z,설비poc,pump poc,1,S: Flow,S: Connection Tag,S: Destination,S: Destination Tag,S: Destination Connector Tag,S: Destination ID,S: Construction Code,S: Destination Construction Code,S: Connected Utility,S: Connected Material,T: Lateral Number,T: Module Name,T: idx,T: Name,펌프,설비,설비/펌프,T: Tag,T: GUID,T: Division,T: Subdivision 1,T: Subdivision 2,T: Con Subdivision 1,T: Con Subdivision 2,T: BIM Design Info,T: BIM (Instance) ID,T: Position,T: Connector Name,T: Utility,T: Utility Group,T: Size,T: Connector Tag,T: Origin,T: Flow,T: Connection Tag,T: Destination,T: Destination Tag,T: Destination Connector Tag,T: Construction Code,T: Destination Construction Code,T: Connected Utility,T: Connected Material,S: Connector Use,T: Connector Use,S: POC No,T: POC No,S: Design Code,T: Design Code
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,2620649963,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_125A_DC clamp,Round,,,0 mm,125 mm,EQP,01f3bbe3-b2c0-4a89-a48c-2fc94e4e3181,b26df231-b375-7916-2d56-5002bcc3e7cd,EAP4230,,130449.766,93605.766,9951.51,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A_DC clamp (FORELINE),01_125A_DC clamp (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-037] DC CLAMP_CENTERING(FKM)_125A_MF_ASSY,PlumbingComponent,CLAMP,DC CLAMP,(none),(none),,190755370,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,b5b7f025-97e9-423f-a19f-29342bc7c730,7ebe8c22-4410-8b6f-2037-8d7162bc317f,EAP4230,,130449.766,93605.766,9947.509,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A (FORELINE),01_125A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,528759358,/P4-1 PJT/퍼실리티/Component/진공/Flange,02_125A_pipe,Round,,,0 mm,125 mm,EQP,a1137846-e697-4298-8630-58b3c79c24e0,31186f47-85a7-1e1f-af4e-902c50fc1468,EAP4230,,130449.766,93605.766,9940.009,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,02_125A_pipe (FORELINE),02_125A_pipe (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,3567220759,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_125A_DC clamp,Round,,,0 mm,125 mm,EQP,cab537cd-792a-4f81-af81-67f3f154cf5b,4a8dcc82-3b23-d435-2c32-98d52c3dccfd,EAP4230,,130449.766,93455.766,9636.496,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A_DC clamp (FORELINE),01_125A_DC clamp (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-037] DC CLAMP_CENTERING(FKM)_125A_MF_ASSY,PlumbingComponent,CLAMP,DC CLAMP,(none),(none),,1927479878,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,bb294937-83ca-4b9f-a9a1-4a1b500ccbee,3295f586-6f8f-1fb8-58fc-ae7db56e9c7b,EAP4230,,130449.766,93455.766,9632.498,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A (FORELINE),01_125A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,3320763193,/P4-1 PJT/퍼실리티/Component/진공/Flange,02_125A_pipe,Round,,,0 mm,125 mm,EQP,84759a06-679b-4963-bfc9-26ef7a729a5c,f081279e-6226-dce9-0947-be524b2ec390,EAP4230,,130449.766,93455.766,9624.998,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,02_125A_pipe (FORELINE),02_125A_pipe (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,980092641,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_125A_DC clamp,Round,,,0 mm,125 mm,EQP,f3cb4859-72a0-4e46-9406-bbb215055efe,e81bb037-7703-07e8-3563-7c0e5a3cf6bb,EAP4230,,130449.766,93455.766,8517.499,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A_DC clamp (FORELINE),01_125A_DC clamp (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-037] DC CLAMP_CENTERING(FKM)_125A_MF_ASSY,PlumbingComponent,CLAMP,DC CLAMP,(none),(none),,677714015,/P4-1 PJT/퍼실리티/Component/진공/Centering,01_125A,Round,,,0 mm,125 mm,EQP,2abb58d5-b6de-4098-8ab6-b409529da012,c0e9eec7-eddb-c809-315b-b1eab586ceb1,EAP4230,,130449.766,93455.766,8513.499,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A (FORELINE),01_125A (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,1375568198,/P4-1 PJT/퍼실리티/Component/진공/Flange,02_125A_pipe,Round,,,0 mm,125 mm,EQP,f71aca1d-f2e7-4b0b-828e-54857f68a050,2fefd8f7-c3c2-c6bf-1dff-2f3d198d66e1,EAP4230,,130449.766,93455.766,8506,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,02_125A_pipe (FORELINE),02_125A_pipe (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAP4230A,EAP4230,A,15249.511,2300,A,,[VAC-074] MF FLANGE_NW125,PlumbingComponent,FLANGE,MF FLANGE,(none),(none),,3791557646,/P4-1 PJT/퍼실리티/Component/진공/Flange,01_125A_DC clamp,Round,,,0 mm,125 mm,EQP,0faad6c4-5154-424c-928a-bf36e4e52086,8a9627ba-125b-3292-dc0b-3b7ffec1b4d7,EAP4230,,130449.766,93455.766,6363.5,FALSE,FALSE,FALSEFALSE,Open,,,,,,,,01_125A_DC clamp (FORELINE),01_125A_DC clamp (SUS304 AP + HEATING JACKET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
