PUMP	125 mm	EQP	EHP4206		 124955.008 mm	 81584.008 mm	 2300 mm	PM1
PUMP	125 mm	EQP	EHP4206		 124955.008 mm	 82084.008 mm	 2300 mm	PM3
PUMP	125 mm	ING	EHP4206		 124955.008 mm	 84069 mm	 2300 mm	
PUMP	125 mm	ING	EHP4206		 124955.008 mm	 84569 mm	 2300 mm	
PUMP	125 mm	EQP	EAP4230		 130449.703 mm	 91744.797 mm	 2300 mm	B
PUMP	125 mm	EQP	EAP4230		 129749.711 mm	 91744.797 mm	 2300 mm	B
PUMP	125 mm	EQP	EAP4231		 130449.797 mm	 86955.766 mm	 2300 mm	A
PUMP	125 mm	EQP	EAP4231		 129749.805 mm	 86955.766 mm	 2300 mm	C
PUMP	125 mm	EQP	EAP4231		 130448.5 mm	 85244.797 mm	 2300 mm	A
PUMP	125 mm	EQP	EAP4231		 129748.508 mm	 85244.797 mm	 2300 mm	B
PUMP	125 mm	EQP	EAP4231		 131249.703 mm	 86450.016 mm	 2300 mm	C
PUMP	125 mm	EQP	EAP4231		 131249.703 mm	 85750.016 mm	 2300 mm	B
PUMP	125 mm	EQP	EAP4230		 131249.609 mm	 92950.008 mm	 2300 mm	C
PUMP	125 mm	EQP	EAP4230		 131249.609 mm	 92250.008 mm	 2300 mm	A
PUMP	125 mm	EQP	EAP4230		 130449.797 mm	 93455.766 mm	 2300 mm	A
PUMP	125 mm	EQP	EAP4230		 129749.805 mm	 93455.766 mm	 2300 mm	C
PUMP	125 mm	EMP	ELO4322		 130949.695 mm	 67155.25 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4322		 130949.695 mm	 67855.25 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4321		 130449.703 mm	 73239.031 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4321		 129749.711 mm	 73239.031 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4321		 129749.820 mm	 74950.008 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4321		 130449.812 mm	 74950.008 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4322		 130449.812 mm	 68360.977 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4322		 129749.820 mm	 68360.977 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4321		 130949.695 mm	 74444.242 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4321		 130949.695 mm	 73744.25 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4322		 129749.711 mm	 66650 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4322		 130449.703 mm	 66650 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4323		 130449.703 mm	 60144.777 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4323		 129749.711 mm	 60144.777 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4323		 130949.695 mm	 60650 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4323		 130949.695 mm	 61350.004 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4323		 129749.820 mm	 61855.762 mm	 2300 mm	
PUMP	125 mm	EMP	ELO4323		 130449.812 mm	 61855.762 mm	 2300 mm	
